class,name,price,etl_date,tdp,cooling_method,model
電源供應器,華碩 ROG STRIX 850W 雙8/金牌/PCIe 5.0(轉接)/全模組/全日系/智慧停轉/10年保,4790,2024-03-03,850,,
電源供應器,華碩 ROG STRIX 850W 白色版 雙8/金牌/全模組/全日系/智慧停轉/10年保,5190,2024-03-03,850,,
電源供應器,華碩 ROG STRIX 850W 白色版/金牌 + ROG STRIX LC II 240 ARGB WE白龍水冷,8990,2024-03-03,850,,
電源供應器,華碩 ROG STRIX 850W 白色版/金牌 + ROG STRIX LC II 360 ARGB WE白龍水冷,9990,2024-03-03,850,,
電源供應器,華碩 ROG STRIX 850W AURA Edition 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保▼下殺到 3/31 20:00,4990,2024-03-03,850,,
電源供應器,華碩 ROG STRIX 1000W AURA Edition 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,6990,2024-03-03,1000,,
電源供應器,華碩 ROG STRIX 1000W AURA Edition 白色版 雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年保,7490,2024-03-03,1000,,
電源供應器,華碩 ROG STRIX 1200W AURA Edition 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,7990,2024-03-03,1200,,
電源供應器,華碩 ROG THOR II 850W 雙8/白金/PCIe 5.0(轉接)/全模組/OLED監控/極靜音/10年保,8490,2024-03-03,850,,
電源供應器,華碩 ROG THOR II 1000W 雙8/白金/PCIe 5.0(轉接)/全模組/OLED監控/極靜音/10年保,9990,2024-03-03,1000,,
電源供應器,華碩 ROG THOR II 1200W 雙8/白金/PCIe 5.0(轉接)/全模組/OLED監控/極靜音/10年保,10990,2024-03-03,1200,,
電源供應器,華碩 ROG THOR 1600W 雙8/鈦金/PCIe 5.0(轉接)/全模組/OLED監控/極靜音/10年保,19990,2024-03-03,1600,,
電源供應器,台達 350W/銅牌/3年保固/2年換新/GPS-350HB A,1290,2024-03-03,350,,
電源供應器,台達 550W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-550GB A,1990,2024-03-03,550,,
電源供應器,台達 650W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-650FB A,2190,2024-03-03,650,,
電源供應器,台達 650W 雙8/金牌/全模組/DC-DC/10年保固/3年換新/GPS-650MB A,2890,2024-03-03,650,,
電源供應器,台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 限量原價$6990,4990,2024-03-03,1100,,
電源供應器,台達 超實在 1300W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保,7990,2024-03-03,1300,,
電源供應器,微星 MAG A550BN 550W 銅牌/DC-DC/5年保,1790,2024-03-03,550,,
電源供應器,微星 MAG A650BN 650W 銅牌/DC-DC/5年保,1990,2024-03-03,650,,
電源供應器,微星 MAG A750BN PCIE5 750W 雙8/銅牌/ATX3.0/5年保,2290,2024-03-03,750,,
電源供應器,微星 MAG A650GL 650W 雙8/金牌/全模組/DC-DC/7年保,3090,2024-03-03,650,,
電源供應器,微星 MAG A750GL PCIE5 750W 雙8/金牌/全模組/ATX3.0/7年保,3490,2024-03-03,750,,
電源供應器,微星 MAG A850GL PCIE5 850W 雙8/金牌/全模組/ATX3.0/7年保,3890,2024-03-03,850,,
電源供應器,微星 MAG A850GL PCIE5 WHITE 850W 雙8/金牌/全模組/ATX3.0/7年保,3990,2024-03-03,850,,
電源供應器,微星 MPG A750GF 750W 雙8/金牌/全模組/LLC+DC-DC/全日系/10年保,3990,2024-03-03,750,,
電源供應器,微星 MPG A850G PCIE5 850W 雙8/金牌/全模組/ATX3.0/溫控風扇/全日系/10年保,4590,2024-03-03,850,,
電源供應器,微星 MPG A1000G PCIE5 1000W 雙8/金牌/全模組/ATX3.0/溫控風扇/全日系/10年保,5290,2024-03-03,1000,,
電源供應器,微星 MEG Ai1300P PCIE5 1300W 雙8/白金/全模組/ATX3.0/軟體監控/全日系/10年保▼下殺到 3/31 20:00,8990,2024-03-03,1300,,
電源供應器,振華 BRONZE KING 400W/銅牌/德.日系零組件/3年保,1250,2024-03-03,400,,
電源供應器,振華 BRONZE KING 450W/銅牌/德.日系零組件/3年保,1450,2024-03-03,450,,
電源供應器,振華 BRONZE KING 550W/銅牌/德.日系零組件/3年保,1850,2024-03-03,550,,
電源供應器,振華 冰山金蝶 400W/金牌/全日系/DC-DC/5年保,1490,2024-03-03,400,,
電源供應器,振華 冰山金蝶 450W/金牌/全日系/DC-DC/5年保,1590,2024-03-03,450,,
電源供應器,振華 冰山金蝶 500W/金牌/全日系/DC-DC/5年保,1790,2024-03-03,500,,
電源供應器,振華 LEADEX III ARGB 650W 雙8/金牌/全模/全日系/智慧停轉/7年保,2790,2024-03-03,650,,
電源供應器,振華 LEADEX III ARGB 750W 雙8/金牌/全模/全日系/智慧停轉/7年保,3190,2024-03-03,750,,
電源供應器,振華 LEADEX III ARGB 850W 雙8/金牌/全模/全日系/智慧停轉/7年保,3590,2024-03-03,850,,
電源供應器,振華 LEADEX III 550W/金牌/全模/全日系/智慧停轉/7年保,2290,2024-03-03,550,,
電源供應器,振華 LEADEX III 650W 雙8/金牌/全模/全日系/智慧停轉/7年保,2590,2024-03-03,650,,
電源供應器,振華 LEADEX III 750W 雙8/金牌/全模/全日系/智慧停轉/7年保,2990,2024-03-03,750,,
電源供應器,振華 LEADEX III 750W 白色 雙8/金牌/全模/全日系/智慧停轉/7年保,3190,2024-03-03,750,,
電源供應器,振華 LEADEX III 850W 雙8/金牌/全模/全日系/智慧停轉/7年保,3390,2024-03-03,850,,
電源供應器,振華 LEADEX SE 1000W 雙8/白金/全模/全日系/智慧停轉/5年保 送12+4pin模組線！,4590,2024-03-03,1000,,
電源供應器,振華 LEADEX SE 1200W 雙8/白金/全模/全日系/智慧停轉/5年保 送12+4pin模組線！,5990,2024-03-03,1200,,
電源供應器,振華 LEADEX 750W 雙8/鈦金/全模/全日系/智慧停轉/5年保,3590,2024-03-03,750,,
電源供應器,振華 LEADEX 1000W 雙8/鈦金/全模/全日系/智慧停轉/5年保 送12+4pin模組線！,5390,2024-03-03,1000,,
電源供應器,振華 LEADEX VII 750W 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年保,3790,2024-03-03,750,,
電源供應器,振華 LEADEX VII 850W 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年保,4390,2024-03-03,850,,
電源供應器,振華 LEADEX VII 1000W 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年保,4990,2024-03-03,1000,,
電源供應器,振華 LEADEX VII 1300W 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年保,6990,2024-03-03,1300,,
電源供應器,Antec CSK550(550W) 銅牌/靜音風扇/5年保,1690,2024-03-03,550,,
電源供應器,Antec CSK650(650W) 銅牌/靜音風扇/5年保,1990,2024-03-03,650,,
電源供應器,Antec CSK750H(750W) 雙8/銅牌/半模組/靜音風扇/5年保,2290,2024-03-03,750,,
電源供應器,Antec NE650GM(650W) 雙8/金牌/全模/全日系/LLC+DC-DC/智慧溫控風扇/10年保,2590,2024-03-03,650,,
電源供應器,Antec NE750GM(750W) 雙8/金牌/全模/全日系/LLC+DC-DC/智慧溫控風扇/10年保,2990,2024-03-03,750,,
電源供應器,Antec NE850GM(850W) 雙8/金牌/全模/全日系/LLC+DC-DC/智慧溫控風扇/10年保,3290,2024-03-03,850,,
電源供應器,Antec NE850GM(850W) 白色 雙8/金牌/全模/全日系/LLC+DC-DC/智慧溫控風扇/10年保,3390,2024-03-03,850,,
電源供應器,Antec NE850G M ATX3.0(850W) 雙8/金牌/全模/PCIe 5.0/全日系/10年保,4390,2024-03-03,850,,
電源供應器,Antec NE1000G M ATX3.0(1000W) 雙8/金牌/全模/PCIe 5.0/全日系/10年保,4990,2024-03-03,1000,,
