class,name,price,etl_date,brand,module_Spec,capacity,capacity_value,capacity_unit
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-7200 FURY Renegade RGB黑(KF572C38RSAK2-32),6600,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-7200 FURY Renegade RGB銀白(KF572C38RWAK2-32),6600,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2) DDR5-5200/CL40 黑色,2799,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2) DDR5-5200/CL40 紅色,2799,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6000/CL38 黑色,3199,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6000/CL38 紅色,3199,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6400/CL40 黑色,3199,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓 T-Force Vulcan 火神散熱片系列 32GB(雙通16GB*2)DDR5-6400/CL40 紅色,3199,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 32GB(雙通16GB*2) DDR5-6000/CL38 黑色,3399,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 32GB(雙通16GB*2) DDR5-6000/CL38 白色,3399,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 32GB(雙通16GB*2) DDR5-6400/CL40 黑色,3599,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 32GB(雙通16GB*2) DDR5-6400/CL40 白色,3599,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 32GB(雙通16GB*2) DDR5-7200/CL34 黑色,3999,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 32GB(雙通16GB*2) DDR5-7200/CL34 白色,3999,2024-03-03,十銓,DDR5,32GB,32,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 64GB(雙通32GB*2) DDR5-6000/CL38 黑色,6199,2024-03-03,十銓,DDR5,64GB,64,GB
記憶體 RAM,十銓T-Force Delta 炫光RGB系列 64GB(雙通32GB*2) DDR5-6000/CL38 白色,6199,2024-03-03,十銓,DDR5,64GB,64,GB
記憶體 RAM,美光Micron Crucial 64GB(雙通32GB*2) DDR5 4800/CL40,5399,2024-03-03,美光Micron,DDR5,64GB,64,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 32GB(雙通16G*2) D5-5600銀(F5-5600J3636C16GX2-TZ5RS),4100,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 32GB(雙通16G*2) D5-5600黑(F5-5600J3636C16GX2-TZ5RK),4100,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL 幻鋒戟RGB 32GB(雙通16G*2) D5-6000黑( F5-6000J3636F16GX2-TZ5RK),4200,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL 幻鋒戟RGB 32GB(雙通16G*2) D5-6000白( F5-6000J3636F16GX2-TZ5RW),4200,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL 幻鋒戟RGB 32GB(雙通16G*2) D5-6400黑( F5-6400J3239G16GX2-TZ5RK),4350,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL 幻鋒戟RGB 32GB(雙通16G*2) D5-6400白( F5-6400J3239G16GX2-TZ5RW),4350,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 32GB(雙通16G*2) D5-7200銀(F5-7200J3445G16GX2-TZ5RS),4800,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 32GB(雙通16G*2) D5-7200黑(F5-7200J3445G16GX2-TZ5RK),4800,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL 幻鋒戟RGB 64GB(雙通32G*2) D5-5600黑( F5-5600J3636D32GX2-TZ5RK),7400,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 64GB(雙通32G*2) D5-6000黑(F5-6000J3040G32GX2-TZ5RK),7680,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 64GB(雙通32G*2) D5-6000白(F5-6000J3040G32GX2-TZ5RW),7680,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 64GB(雙通32G*2) D5-6400黑(F5-6400J3239G32GX2-TZ5RK),8200,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL幻鋒戟RGB 64GB(雙通32G*2) D5-6400白(F5-6400J3239G32GX2-TZ5RW),8200,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL Ripjaws S5焰刃32GB(雙通16G*2)D5-5600黑( F5-5600J3636C16GX2-RS5K),3390,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL Ripjaws S5焰刃32GB(雙通16G*2)D5-6000黑( F5-6000J3636F16GX2-RS5K),3490,2024-03-03,芝奇G,Unknown,32GB,32,GB
記憶體 RAM,芝奇G.SKILL Ripjaws S5焰刃64GB(雙通32G*2)D5-5600黑( F5-5600J3636D32GX2-RS5K),6800,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL Ripjaws S5焰刃64GB(雙通32G*2)D5-5600白( F5-5600J3636D32GX2-RS5W),6800,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,芝奇G.SKILL Ripjaws S5焰刃64GB(32G*2)D5-6000黑(F5-6000J3040G32GX2-RS5K),7090,2024-03-03,芝奇G,Unknown,64GB,64,GB
記憶體 RAM,UMAX NB 8GB DDR5 4800/CL40,699,2024-03-03,UMAX,DDR5,8GB,8,GB
記憶體 RAM,UMAX NB 16GB DDR5 4800/CL40,1259,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX NB 32GB DDR5 4800/CL40,2399,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,UMAX NB 8GB DDR5 5600/CL46,749,2024-03-03,UMAX,DDR5,8GB,8,GB
記憶體 RAM,UMAX NB 16GB DDR5 5600/CL46,1299,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX NB 32GB DDR5 5600/CL46,2649,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,威剛 NB 8GB DDR5 4800(AD5S48008G-S)/CL40,729,2024-03-03,威剛,DDR5,8GB,8,GB
記憶體 RAM,威剛 NB 16GB DDR5 4800(AD5S480016G-S)/CL40,1299,2024-03-03,威剛,DDR5,16GB,16,GB
記憶體 RAM,威剛 NB 32GB DDR5-4800/CL40 (AD5S480032G-S),2499,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 NB 8GB DDR5-5600/CL46 (AD5S56008G-S),859,2024-03-03,威剛,DDR5,8GB,8,GB
